name,title,documentation,description
Amazon Augmented AI,Amazon Augmented AI,http://aws.amazon.com/augmented-ai,Amazon Augmented AI (Amazon A2I) is a machine learning service which makes it easy to build the workflows required for human review.
Amazon CodeGuru,Amazon CodeGuru,http://aws.amazon.com/codeguru,Amazon CodeGuru is a developer tool that provides intelligent recommendations to improve code quality and identify an application’s most expensive lines of code. 
Amazon Comprehend,Amazon Comprehend,https://aws.amazon.com/comprehend,Amazon Comprehend is a natural language processing (NLP) service that uses machine learning to find insights and relationships in text. No machine learning experience required.
Amazon DevOps Guru,Amazon DevOps Guru,http://aws.amazon.com/devops-guru,Amazon DevOps Guru is a Machine Learning (ML) powered service that makes it easy to improve an application’s operational performance and availability. DevOps Guru detects behaviors that deviate from normal operating patterns so you can identify operational issues long before they impact your customers.
Amazon Elastic Inference,Amazon Elastic Inference,https://aws.amazon.com/machine-learning/elastic-inference/,Amazon Elastic Inference allows you to attach low-cost GPU-powered acceleration to Amazon EC2 and Amazon SageMaker instances to reduce the cost of running deep learning inference by up to 75%.
Amazon Forecast,Amazon Forecast,https://aws.amazon.com/forecast/,Amazon Forecast is a fully managed service that uses machine learning to deliver highly accurate forecasts.
Amazon Fraud Detector,Amazon Fraud Detector,http://aws.amazon.com/fraud-detector,"Amazon Fraud Detector is a fully managed service that uses machine learning (ML) and more than 20 years of fraud detection expertise from Amazon, to identify potentially fraudulent activity so customers can catch more online fraud faster. "
Amazon HealthLake,Amazon HealthLake,http://aws.amazon.com/healthlake,"Amazon HealthLake is a HIPAA-eligible service that healthcare providers, health insurance companies, and pharmaceutical companies can use to store, transform, query, and analyze large-scale health data."
Amazon Kendra,Amazon Kendra,http://aws.amazon.com/kendra,"Amazon Kendra is an intelligent search service powered by machine learning. Kendra reimagines enterprise search for your websites and applications so your employees and customers can easily find the content they are looking for, even when it’s scattered across multiple locations and content repositories within your organization."
Amazon Lex,Amazon Lex,https://aws.amazon.com/lex,"Amazon Lex is a service for building conversational interfaces into any application using voice and text. Lex provides the advanced deep learning functionalities of automatic speech recognition (ASR) for converting speech to text, and natural language understanding (NLU) to recognize the intent of the text, to enable you to build applications with highly engaging user experiences and lifelike conversational interactions."
Amazon Lookout for Equipment,Amazon Lookout for Equipment,http://aws.amazon.com/lookout-for-equipment,"Amazon Lookout for Equipment analyzes the data from the sensors on your equipment (e.g. pressure in a generator, flow rate of a compressor, revolutions per minute of fans), to automatically train a machine learning model based on just your data, for your equipment – with no ML expertise required. "
Amazon Lookout for Metrics,Amazon Lookout for Metrics,http://aws.amazon.com/lookout-for-metrics,"Amazon Lookout for Metrics uses machine learning (ML) to automatically detect and diagnose anomalies (i.e. outliers from the norm) in business and operational data, such as a sudden dip in sales revenue or customer acquisition rates."
Amazon Lookout for Vision,Amazon Lookout for Vision,http://aws.amazon.com/lookout-for-vision,Amazon Lookout for Vision is a machine learning (ML) service that spots defects and anomalies in visual representations using computer vision (CV).
Amazon Monitron,Amazon Monitron,http://aws.amazon.com/monitron,"Amazon Monitron is an end-to-end system that uses machine learning (ML) to detect abnormal behavior in industrial machinery, enabling you to implement predictive maintenance and reduce unplanned downtime."
AWS Panorama,AWS Panorama,https://aws.amazon.com/panorama/,"AWS Panorama is a machine learning (ML) appliance and software development kit (SDK) that brings computer vision (CV) to on-premises internet protocol (IP) cameras. With AWS Panorama, you can automate tasks that have traditionally required human inspection to improve visibility into potential issues."
Amazon Personalize,Amazon Personalize,https://aws.amazon.com/personalize/,Amazon Personalize is a machine learning service that makes it easy for developers to create individualized recommendations for customers using their applications.
Amazon Polly,Amazon Polly,https://aws.amazon.com/polly,"Amazon Polly is a service that turns text into lifelike speech. Polly lets you create applications that talk, enabling you to build entirely new categories of speech-enabled products. Polly is an Amazon artificial intelligence (AI) service that uses advanced deep learning technologies to synthesize speech that sounds like a human voice."
Amazon Rekognition,Amazon Rekognition,https://aws.amazon.com/rekognition,"Amazon Rekognition makes it easy to add image and video analysis to your applications using proven, highly scalable, deep learning technology that requires no machine learning expertise to use."
Amazon SageMaker,Amazon SageMaker,https://aws.amazon.com/sagemaker,"Amazon SageMaker is a fully-managed service that enables developers and data scientists to quickly and easily build, train, and deploy machine learning models at any scale. SageMaker removes all the barriers that typically slow down developers who want to use machine learning."
Amazon SageMaker Ground Truth,Amazon SageMaker Ground Truth,https://aws.amazon.com/sagemaker/groundtruth,Amazon SageMaker Ground Truth helps you build highly accurate training datasets for machine learning quickly. SageMaker Ground Truth offers easy access to public and private human labelers and provides them with built-in workflows and interfaces for common labeling tasks.
Amazon Textract,Amazon Textract,https://aws.amazon.com/textract/,Amazon Textract is a service that automatically extracts text and data from scanned documents. Amazon Textract goes beyond simple optical character recognition (OCR) to also identify the contents of fields in forms and information stored in tables.
Amazon Transcribe,Amazon Transcribe,https://aws.amazon.com/transcribe,Amazon Transcribe is an automatic speech recognition (ASR) service that makes it easy for developers to add speech-to-text capability to their applications.
Amazon Translate,Amazon Translate,https://aws.amazon.com/translate,"Amazon Translate is a neural machine translation service that delivers fast, high-quality, and affordable language translation."
Apache MXNet on AWS,Apache MXNet on AWS,https://aws.amazon.com/mxnet,"Apache MXNet on AWS is a fast and scalable training and inference framework with an easy-to-use, concise API for machine learning."
AWS Deep Learning AMIs,AWS Deep Learning AMIs,https://aws.amazon.com/deep-learning/,"The AWS Deep Learning AMIs provide machine learning practitioners and researchers with the infrastructure and tools to accelerate deep learning in the cloud, at any scale."
AWS DeepComposer,AWS DeepComposer,http://aws.amazon.com/deepcomposer,AWS DeepComposer is the world’s first musical keyboard powered by machine learning to enable developers of all skill levels to learn Generative AI while creating original music outputs.
AWS DeepLens,AWS DeepLens,https://aws.amazon.com/deeplens,"AWS DeepLens helps put deep learning in the hands of developers, literally, with a fully programmable video camera, tutorials, code, and pre-trained models designed to expand deep learning skills."
AWS DeepRacer,AWS DeepRacer,https://aws.amazon.com/deepracer,AWS DeepRacer is a 1/18th scale race car which gives you an interesting and fun way to get started with reinforcement learning (RL).
AWS Inferentia,AWS Inferentia,https://aws.amazon.com/machine-learning/inferentia,"AWS Inferentia is a machine learning inference chip designed to deliver high performance at low cost. AWS Inferentia will support the TensorFlow, Apache MXNet, and PyTorch deep learning frameworks, as well as models that use the ONNX format."
TensorFlow on AWS,TensorFlow on AWS,https://aws.amazon.com/tensorflow,"TensorFlow enables developers to quickly and easily get started with deep learning in the cloud. The framework has broad support in the industry and has become a popular choice for deep learning research and application development, particularly in areas such as computer vision, natural language understanding and speech translation."
